Topic,Words,Frequency,Timestamp
-1,"перемены жизни, оставить всё, бы начались, вернуться те, рассказывали насколько",1,2017-07-01
-1,"колокольни хочется, жизнь всегда, всегда полна, моей колокольни, погнить",1,2017-10-01
36,"татьяна, рассказываете чувствуется, дальнейших видео, чувствуется профессионализм, жду дальнейших",2,2017-10-01
-1,"поесть, фаст, раскрыта, будет тебе, все",26,2018-01-01
0,"нас просьба, строящийся, интересные нужные, кондо аркадиа, просьба покажите",1,2018-01-01
3,"привет родной, решила подписаться, из тркутска, зимний привет, же решила",2,2018-01-01
4,"школу они, ним европу, они продолжают, общеобразовательную школу, общеобразовательную",1,2018-01-01
19,"таиланд была, таиланде мне, была один, мне россии, россии хорошо",2,2018-01-01
21,"пустомеля, пустомеля дизлайк, clustering пустомеля, дизлайк, лайк",1,2018-01-01
32,"информационный ролик, самый информационный, на подобную, подобную тему, подобную",1,2018-01-01
36,"часто моргаете, моргаете, татьяна, clustering татьяна, моргаете аж",2,2018-01-01
45,"clustering рыжая, рыжая брешет, брешет ни, брешет, рыжая",1,2018-01-01
51,"мужчину который, свои плавки, поправлял свои, поправлял, который поправлял",2,2018-01-01
61,"зарабатывать, уточнить еще, детьми планах, clustering сайт, себя применить",4,2018-01-01
67,"очень информативно, информативно, спасибо очень, clustering спасибо, спасибо",1,2018-01-01
70,"ирк, возрасте найти, привет земляки, ответаспасибо вам, ответаспасибо",2,2018-01-01
76,"из братска, братска, мы из, clustering мы, мы",1,2018-01-01
85,"есть акулы, вам море, подписалась вам, море есть, видео подписалась",1,2018-01-01
148,"зубы ну, страховке дорого, ли стоит, всегда платная, полечить зубы",1,2018-01-01
213,"оформляться легально, оформляться, из эквадора, легально лично, причем только",1,2018-01-01
223,"благодарюпереезд не, не планируюно, clustering благодарюпереезд, приятнычто удовольствием, вас послушала",1,2018-01-01
-1,"не, бизнес, тем кто, если, на",45,2018-04-01
0,"ворк премит, знал таких, премит, таких подробностей, подробностей ворк",1,2018-04-01
1,"мне бабушке, из положительная, которой сердцем, сердцем ситуация, например которой",1,2018-04-01
2,"даютстройка строится, даютстройка, здравствуйтеони, здравствуйтеони ведь, комплексе бассейном",3,2018-04-01
3,"совсем нечего, только услышала, тайланде совсем, услышала что, стала дальше",1,2018-04-01
6,"наших гидов, гидов, гид, слабой речью, или журналистикой",2,2018-04-01
8,"хотят жить, все хотят, жить тайланде, не все, хотят",1,2018-04-01
11,"план все, таиланд мечта, моя цель, уеду таиланд, продам квартиру",1,2018-04-01
13,"мужем поехать, пхукет стоит, поехать июле, здравствуйте хотим, июле на",1,2018-04-01
14,"раскрываешь тему, трусы но, стираешь трусы, как стираешь, не раскрываешь",1,2018-04-01
17,"бездельника, мечта бездельника, clustering мечта, мечта, молодцы",1,2018-04-01
19,"хочу жить, жить таиланде, странно да, таиланде странно, жопа мира",3,2018-04-01
20,"оказывают консультации, бангкоке оказывают, для предпринимателей, вроде бангкоке, привилегии вроде",1,2018-04-01
28,"линкедин, линкедин заблокирован, clustering линкедин, что остатки, остатки нормальных",1,2018-04-01
32,"слышалихотелось бы, информациюочень полезное, слышалихотелось, это слышалихотелось, информациюочень",1,2018-04-01
35,"clustering лишних, слов очень, лишних слов, не досмотрел, интересно не",1,2018-04-01
36,"татьяна, clustering татьяна, татьяна спасибо, не оторватьсяскажите, же фон",7,2018-04-01
39,"ресторан недвижка, ума много, тае ресторан, дел тае, открыть ума",1,2018-04-01
41,"девчонки даже, насыщенная мимика, мимика девчонки, даже заводит, какая насыщенная",1,2018-04-01
43,"фууууа, русских ресторанов, жуй какосы, ресторанов паттайе, чанга еш",4,2018-04-01
45,"ля, ля пустышка, пустышка, ля ля, clustering ля",1,2018-04-01
51,"гипнотизировали еле, видео аааааааа, отрубил видео, моргание за, за гипнотизировали",1,2018-04-01
57,"другая ситуация, меня другая, ситуация, другая, clustering меня",1,2018-04-01
61,"тату, понял смысл, врача пилота, если организовать, обустроитесь",3,2018-04-01
64,"тоже иркутянин, школу что, учить вы, вечер тоже, иркутянин если",1,2018-04-01
67,"как реально, грамотно чётко, наш бизнес, ок очень, раскрыто не",2,2018-04-01
68,"слов ни, простой русский, видно простой, одного по, трудяга вещает",1,2018-04-01
70,"работу, на работу, тайланде, рабрту тайцев, нужны люди",1,2018-04-01
71,"так аппетитно, аппетитно жрет, сзади так, мужик сзади, аппетитно",1,2018-04-01
74,"за консультацию, ссылки clustering, консультацию ссылки, консультацию, ссылки",2,2018-04-01
88,"ветеринары, ветеринары там, мелким домашним, clustering ветеринары, нужны по",1,2018-04-01
89,"надо от, куда деньги, clustering работать, от куда, работать не",1,2018-04-01
99,"супер полезная, полезная информация, полезная, информация, clustering супер",1,2018-04-01
100,"рассказ спасибо, интересный рассказ, вам удачи, clustering интересный, рассказ",1,2018-04-01
103,"осталась потомуто, потомуто ничего, clustering осталась, потомуто, ничего делать",1,2018-04-01
116,"сожалению информация, просмотру потом, чем название, разных вещах, потом видео",1,2018-04-01
132,"вы раю, раю хоть, хоть кто, раю, кто то",1,2018-04-01
134,"загорела, загорела то, не загорела, ты за, же ты",1,2018-04-01
148,"что медициной, медициной, clustering что, что, clustering",1,2018-04-01
149,"так часто, этот нервный, тик clustering, чем связан, часто моргать",2,2018-04-01
154,"наушники clustering, голос плохо, но голос, делай нормальный, природа конечно",2,2018-04-01
178,"погадить, попить поспать, написана на, задача написана, поспать погадить",1,2018-04-01
186,"месяцев депрессии, возвращаясь отпуска, депрессии прибывают, ток нашу, возвращайтесь большинство",1,2018-04-01
205,"оборудования бытовые, обслуживания холодильного, холодильные, ваш адрес, холодильные витрины",2,2018-04-01
211,"неприятная девушка, какая неприятная, неприятная, clustering какая, девушка",1,2018-04-01
214,"запись кофейне, под запись, посидели, посидели под, уж посидели",1,2018-04-01
247,"зарабатвваете, вы зарабатвваете, как получили, получили вид, жительство чем",2,2018-04-01
-1,"возникла, болтовня, деньги, не, мысль",28,2018-07-01
8,"жить канаде, канаде вот, чтото новенькое, clustering слышал, новенькое",1,2018-07-01
10,"помоги работай, день помоги, работай паттайе, работай, помоги",1,2018-07-01
15,"нет жил, негр, вернулся москву, то вернулся, смуглую",1,2018-07-01
19,"хочу жить, жить таиланде, не хочу, хочу, clustering не",1,2018-07-01
22,"хамовато все, clustering гениально, брехня ни, не открылась, чем америка",1,2018-07-01
28,"кордономродина только, странывылазте, там подумай, бежитеааа гробы, бежитеааа",1,2018-07-01
36,"татьяна, clustering татьяна, серьезных структурированных, канал один, подаче информации",5,2018-07-01
41,"красивая девушка, очень красивая, красивая, девушка, clustering очень",1,2018-07-01
51,"жижи твоем, вязкой жижи, вязкой, сколько вязкой, жижи",1,2018-07-01
53,"конца дружим, канал смотрю, дружим, хороший канал, видео до",1,2018-07-01
64,"школу там, ребенок школу, там пойдет, со школой, как ребенок",2,2018-07-01
84,"уже гражданство, гражданство есть, вас уже, clustering вас, гражданство",1,2018-07-01
89,"скажи где, деньги брать, clustering скажи, где деньги, скажи",1,2018-07-01
105,"тайка права, права секси, clustering тайка, секси, тайка",1,2018-07-01
106,"грамотно спасибо, полезно успехов, милая грамотно, очень милая, интересно полезно",1,2018-07-01
138,"платят тысяч, где платят, блох на, зарплату трудяги, maksimova",1,2018-07-01
203,"отеле жил, этом отеле, clustering этом, отеле, жил",1,2018-07-01
